t,v_10,v_25,v_75,v_90
8.466666667,-92.8134,-88.205,-81.02485294,-78.5172
8.5,-92.73317157,-88.20256863,-81.055,-79.18431471
8.533333333,-92.15032843,-87.95943137,-81.055,-78.86949902
8.566666667,-92.491,-87.757,-81.055,-78.8644
8.6,-92.2433,-87.757,-81.51743137,-78.86269804
8.633333333,-92.2433,-87.757,-81.51256863,-78.56356667
8.666666667,-92.4169,-87.757,-81.26943137,-78.17904902
8.7,-91.90019706,-87.757,-81.26943137,-78.0049
8.733333333,-92.10746569,-88.453,-81.51256863,-77.87091471
8.766666667,-90.5342,-87.757,-81.515,-77.45689902
8.8,-90.5045,-87.757,-81.515,-77.3774
8.833333333,-90.5045,-87.757,-81.267,-77.20040294
8.866666667,-90.6509,-87.757,-81.267,-76.93509706
8.9,-90.57841765,-87.45956863,-81.055,-76.78144412
8.933333333,-90.65018235,-87.25468,-81.01756863,-76.88549706
8.966666667,-90.5777,-87.15560784,-80.772,-76.7085
9,-90.57052059,-87.21643137,-80.76956863,-76.7085
9.033333333,-90.08651961,-86.966,-80.524,-76.63367059
9.066666667,-90.18279804,-86.718,-80.078,-76.3864
9.1,-89.86491765,-87.009,-80.078,-76.0623049
9.133333333,-89.93498039,-86.718,-79.533,-75.56607941
9.166666667,-89.54590196,-86.46856863,-79.94303333,-75.2839
9.2,-89.151,-86.42121569,-79.28236667,-74.82257843
9.233333333,-89.31950098,-85.94278431,-78.542,-74.40342451
9.266666667,-88.66289902,-85.47657843,-78.54366,-74.08272941
9.3,-88.279,-85.28944314,-77.71766,-73.65599412
9.333333333,-88.10200294,-84.984,-76.808,-72.99617647
9.366666667,-87.61379706,-84.488,-76.66,-72.54443529
9.4,-87.26101176,-84.23128431,-75.57385294,-71.89589902
9.433333333,-86.34338922,-83.74014706,-74.707,-70.99332745
9.466666667,-85.75719902,-82.77033333,-73.70367647,-70.17907353
9.5,-85.155976,-82.506,-72.37934,-69.18119706
9.533333333,-84.19420106,-81.75571569,-71.801,-68.10662745
9.566666667,-83.13040294,-80.772,-70.6427,-67.2935
9.6,-83.25373333,-80.276,-69.6527,-65.4933
9.633333333,-81.56458039,-78.542,-67.392,-63.77359706
9.666666667,-79.22304412,-77.303,-65.8941,-61.98210294
9.7,-78.39959216,-75.30156863,-63.15571569,-59.58005294
9.733333333,-76.03472549,-73.05942157,-60.72728431,-56.93474314
9.766666667,-72.95051471,-69.77134314,-58.1739902,-53.44521667
9.8,-69.5479,-65.658,-53.18469608,-49.8559
9.833333333,-64.69988529,-60.703,-48.84643137,-45.20244314
9.866666667,-59.0675,-53.5860098,-44.04127451,-39.39599706
9.9,-52.27540882,-45.76169608,-37.59541176,-33.39053333
9.933333333,-40.77039412,-36.75401961,-30.228,-27.26638824
9.966666667,-28.92788431,-26.83187255,-22.299,-21.28236667
10,-18.88810467,-17.591,-13.961,-9.784402
10.03333333,-13.66900196,-11.397,-3.878980392,0.730206863
10.06666667,-9.913343137,-6.2255,4.955,9.950131804
10.1,-6.561712745,-1.194278607,10.92386275,16.34673725
10.13333333,-3.783644118,1.921882353,14.41129412,20.55115294
10.16666667,-1.6644,4.639,18.54070588,23.6372
10.2,0.947765294,6.69,19.98667333,24.45896961
10.23333333,2.974340588,9.415,21.29828431,25.62381569
10.26666667,4.9046,10.66128431,22.461,26.62537843
10.3,5.935370588,11.38971569,23.54285294,26.6686
10.33333333,6.222429412,11.645,24.033,27.30287353
10.36666667,6.853,12.14585294,25.03371569,28.9293
10.4,7.773134314,12.63114706,25.52,29.15722353
10.43333333,8.426565686,13.51566275,25.52,29.88569118
10.46666667,9.0271,14.16,25.28414706,30.49888725
10.5,9.611213882,15.35470588,26.49885294,30.8222
10.53333333,9.766382353,15.857,27.254,30.82025784
10.56666667,10.1564,16.60486275,27.25643137,31.0427498
10.6,10.1868,17.09113725,27.254,31.42012824
10.63333333,10.30105882,17.578,26.759,31.5655
10.66666667,10.44694118,17.34642157,26.759,31.61412745
10.7,10.5225,17.57560784,26.511,31.39287255
10.73333333,10.5225,17.33639216,26.01743137,31.9127
10.76666667,10.374,17.334,26.26056863,31.95597985
10.8,10.2986549,17.344,25.768,31.83946515
10.83333333,10.2041451,17.344,25.768,31.5655
10.86666667,10.30127451,17.578,25.768,31.387985
10.9,10.49632549,17.57560784,25.768,31.387985
10.93333333,10.57287451,17.33639216,26.01257843,31.2431
10.96666667,10.40135686,17.344,25.77042157,30.89489804
11,11.20518235,17.59343137,26.26056863,30.89732941
11.03333333,11.13509216,17.83656863,26.015,30.8966
11.06666667,11.37502549,17.82439216,25.768,30.62377417
11.1,11.5231,17.822,25.70676471,30.79406358
11.13333333,11.69627451,17.822,25.56323529,30.40430392
11.16666667,12.01012549,17.822,25.52,30.91998588
11.2,11.7427,17.578,25.51756863,30.5001
11.23333333,12.08667451,17.33160784,25.27443137,30.5001
